
Model                                    |     N |      Overall |   Min Events |   Event Load |      Min ECT |     ECT Load
deepseek-chat-v3.1 (lies ok)             |  3120 |  58.8% (± 1.7) |  66.2% (± 3.3) |  65.3% (± 3.3) |  53.1% (± 3.5) |  50.5% (± 3.5)
deepseek-chat-v3.1 (with COT)            |  1560 |  63.1% (± 2.4) |  55.4% (± 4.9) |  68.2% (± 4.6) |  61.5% (± 4.8) |  67.4% (± 4.6)
deepseek-chat-v3.1 (with COT) (lies ok)  |  1560 |  75.8% (± 2.1) |  66.2% (± 4.7) |  79.7% (± 4.0) |  75.6% (± 4.2) |  81.8% (± 3.8)
hermes-4-70b                             |  1560 |   5.6% (± 1.1) |   5.1% (± 2.2) |   6.2% (± 2.4) |   5.9% (± 2.4) |   5.1% (± 2.2)
hermes-4-70b (lies ok)                   |  1560 |   5.6% (± 1.1) |   5.1% (± 2.2) |   6.2% (± 2.4) |   5.9% (± 2.4) |   5.1% (± 2.2)
hermes-4-70b (with COT)                  |  1560 |  30.2% (± 2.3) |  38.2% (± 4.8) |  26.2% (± 4.3) |  39.2% (± 4.8) |  17.2% (± 3.7)
hermes-4-70b (with COT) (lies ok)        |  1560 |  30.2% (± 2.3) |  38.2% (± 4.8) |  26.2% (± 4.3) |  39.2% (± 4.8) |  17.2% (± 3.7)
kimi-k2-0905                             |  1560 |  12.0% (± 1.6) |  14.6% (± 3.5) |  12.8% (± 3.3) |  13.1% (± 3.3) |   7.4% (± 2.6)
kimi-k2-0905 (lies ok)                   |  1560 |  13.7% (± 1.7) |  17.7% (± 3.8) |  13.3% (± 3.4) |  14.1% (± 3.5) |   9.5% (± 2.9)
kimi-k2-0905 (with COT)                  |   156 |   3.2% (± 3.0) |   2.6% (± 6.4) |   5.1% (± 7.7) |   5.1% (± 7.7) |   0.0% (± 4.5)
kimi-k2-0905 (with COT) (lies ok)        |   156 |   3.2% (± 3.0) |   2.6% (± 6.4) |   5.1% (± 7.7) |   5.1% (± 7.7) |   0.0% (± 4.5)
kimi-k2-thinking                         |   747 |  84.5% (± 2.6) |  86.8% (± 4.8) |  83.3% (± 5.3) |  88.0% (± 4.6) |  79.3% (± 6.0)
kimi-k2-thinking (lies ok)               |   747 |  88.0% (± 2.3) |  88.9% (± 4.5) |  88.5% (± 4.5) |  89.6% (± 4.3) |  84.5% (± 5.4)
llama-3.1-70b-instruct                   |  3120 |  10.7% (± 1.1) |  13.1% (± 2.4) |  11.9% (± 2.3) |  12.2% (± 2.3) |   5.8% (± 1.6)
llama-3.1-70b-instruct (lies ok)         |  3120 |  11.3% (± 1.1) |  13.6% (± 2.4) |  12.2% (± 2.3) |  12.4% (± 2.3) |   7.1% (± 1.8)
llama-3.1-70b-instruct (with COT)        |  3179 |  27.7% (± 1.6) |  30.1% (± 3.2) |  25.7% (± 3.0) |  30.8% (± 3.2) |  24.3% (± 3.0)
llama-3.1-70b-instruct (with COT) (lies ok) |  3179 |  37.1% (± 1.7) |  38.2% (± 3.4) |  34.7% (± 3.3) |  39.9% (± 3.4) |  35.5% (± 3.3)
mistral-large-2512                       |  1560 |  15.7% (± 1.8) |  14.4% (± 3.5) |  15.9% (± 3.6) |  14.6% (± 3.5) |  17.9% (± 3.8)
mistral-large-2512 (lies ok)             |  1560 |  23.1% (± 2.1) |  22.6% (± 4.1) |  20.8% (± 4.0) |  21.5% (± 4.1) |  27.7% (± 4.4)
mistral-large-2512 (with COT)            |   834 |  20.0% (± 2.7) |  16.7% (± 5.1) |  20.6% (± 5.5) |  20.2% (± 5.4) |  22.6% (± 5.7)
mistral-large-2512 (with COT) (lies ok)  |   834 |  20.0% (± 2.7) |  16.7% (± 5.1) |  20.6% (± 5.5) |  20.2% (± 5.4) |  22.6% (± 5.7)
mistral-large-2512_think                 |   156 |  15.4% (± 5.7) |  17.9% (±11.8) |  15.4% (±11.2) |  12.8% (±10.6) |  15.4% (±11.2)
mistral-large-2512_think (lies ok)       |   156 |  24.4% (± 6.7) |  33.3% (±14.2) |  20.5% (±12.4) |  20.5% (±12.4) |  23.1% (±12.8)
mistral-large-2512_think (with COT)      |  1182 |  29.6% (± 2.6) |  28.0% (± 5.1) |  27.5% (± 5.1) |  29.4% (± 5.2) |  33.6% (± 5.4)
mistral-large-2512_think (with COT) (lies ok) |  1182 |  35.4% (± 2.7) |  36.1% (± 5.4) |  29.8% (± 5.2) |  35.1% (± 5.4) |  40.7% (± 5.6)
mistral-small-24b-instruct-2501          |  1560 |   7.7% (± 1.3) |   7.4% (± 2.6) |   8.2% (± 2.7) |   6.7% (± 2.5) |   8.5% (± 2.8)
mistral-small-24b-instruct-2501 (lies ok) |  1560 |   9.7% (± 1.5) |   9.7% (± 3.0) |   9.0% (± 2.9) |  10.3% (± 3.0) |   9.7% (± 3.0)
mistral-small-24b-instruct-2501 (with COT) |  1558 |  32.3% (± 2.3) |  34.4% (± 4.7) |  30.5% (± 4.6) |  36.8% (± 4.8) |  27.4% (± 4.4)
mistral-small-24b-instruct-2501 (with COT) (lies ok) |  1558 |  36.9% (± 2.4) |  37.3% (± 4.8) |  36.7% (± 4.8) |  38.6% (± 4.8) |  35.1% (± 4.7)
mistral-small-24b-instruct-2501_think    |  1560 |   7.8% (± 1.3) |   6.9% (± 2.5) |   8.2% (± 2.7) |   7.4% (± 2.6) |   8.5% (± 2.8)
mistral-small-24b-instruct-2501_think (lies ok) |  1560 |  10.1% (± 1.5) |   9.2% (± 2.9) |   8.5% (± 2.8) |  11.3% (± 3.1) |  11.3% (± 3.1)
qwen3-32b                                |  1560 |  51.4% (± 2.5) |  45.9% (± 4.9) |  74.6% (± 4.3) |  47.7% (± 4.9) |  37.4% (± 4.8)
qwen3-32b (lies ok)                      |  1560 |  51.4% (± 2.5) |  45.9% (± 4.9) |  74.6% (± 4.3) |  47.7% (± 4.9) |  37.4% (± 4.8)
qwen3-32b (with COT)                     |  1559 |  46.0% (± 2.5) |  24.0% (± 4.2) |  71.1% (± 4.5) |  50.5% (± 4.9) |  38.5% (± 4.8)
qwen3-32b (with COT) (lies ok)           |  1559 |  46.4% (± 2.5) |  24.8% (± 4.3) |  71.1% (± 4.5) |  51.0% (± 4.9) |  39.0% (± 4.8)
qwen3-32b_think                          |  1549 |  81.0% (± 2.0) |  83.8% (± 3.7) |  82.5% (± 3.8) |  82.3% (± 3.8) |  75.1% (± 4.3)
qwen3-32b_think (lies ok)                |  1549 |  86.2% (± 1.7) |  86.4% (± 3.4) |  87.4% (± 3.3) |  87.7% (± 3.3) |  83.2% (± 3.7)
qwen3-next-80b-a3b-instruct              |  1560 |  14.4% (± 1.7) |  11.5% (± 3.2) |  20.3% (± 4.0) |  10.8% (± 3.1) |  14.9% (± 3.5)
qwen3-next-80b-a3b-instruct (lies ok)    |  1560 |  15.2% (± 1.8) |  11.8% (± 3.2) |  21.5% (± 4.1) |  11.3% (± 3.1) |  16.2% (± 3.6)
qwen3-next-80b-a3b-instruct (with COT)   |  1560 |   8.7% (± 1.4) |   7.2% (± 2.6) |   7.9% (± 2.7) |   8.2% (± 2.7) |  11.5% (± 3.2)
qwen3-next-80b-a3b-instruct (with COT) (lies ok) |  1560 |   8.9% (± 1.4) |   7.4% (± 2.6) |   7.9% (± 2.7) |   8.2% (± 2.7) |  12.1% (± 3.2)
qwen3-next-80b-a3b-thinking_think        |  1516 |  84.0% (± 1.8) |  86.5% (± 3.4) |  83.5% (± 3.7) |  85.3% (± 3.5) |  80.2% (± 4.1)
qwen3-next-80b-a3b-thinking_think (lies ok) |  1516 |  88.1% (± 1.6) |  89.1% (± 3.1) |  87.6% (± 3.3) |  88.4% (± 3.2) |  87.3% (± 3.5)
==================================================================================================================================
