Model                                         | Scenario |        Extra |    N |   Accuracy
anthropic-claude-opus-4.6_think               |       32 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       32 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       32 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       37 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       37 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       37 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       37 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       39 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       39 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       39 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       39 |     ECT Load |   10 |     100.0%

anthropic-claude-opus-4.6_think (lose)        |        7 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        7 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        7 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        7 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        8 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        8 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        8 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        8 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        9 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        9 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        9 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |        9 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       10 |   Min Events |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       10 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       10 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       10 |     ECT Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       11 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       11 |   Event Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       11 |      Min ECT |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       11 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       12 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       12 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       12 |      Min ECT |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       12 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       13 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       13 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       13 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       13 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       14 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       14 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       14 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       14 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       15 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       15 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       15 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       15 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       16 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       16 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       16 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       16 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       17 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       17 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       17 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       17 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       18 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       18 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       18 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       18 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       19 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       19 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       19 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       19 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       20 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       20 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       20 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       20 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       21 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       21 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       21 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       21 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       22 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       22 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       22 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       22 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       23 |   Min Events |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       23 |   Event Load |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       23 |      Min ECT |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       23 |     ECT Load |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       24 |   Min Events |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       24 |   Event Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       24 |      Min ECT |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       24 |     ECT Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       27 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       27 |   Event Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       27 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       27 |     ECT Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       28 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       28 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       28 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       28 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       29 |   Min Events |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       29 |   Event Load |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       29 |      Min ECT |    2 |      50.0%
anthropic-claude-opus-4.6_think (lose)        |       29 |     ECT Load |    2 |       0.0%
anthropic-claude-opus-4.6_think (lose)        |       30 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       30 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       30 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       30 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       31 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       31 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       31 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       31 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       32 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       32 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       32 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       32 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       37 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       37 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       37 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       37 |     ECT Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       39 |   Min Events |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       39 |   Event Load |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       39 |      Min ECT |    2 |     100.0%
anthropic-claude-opus-4.6_think (lose)        |       39 |     ECT Load |    2 |     100.0%

kimi-k2-0905                                  |        7 |   Min Events |   10 |     100.0%
kimi-k2-0905                                  |        7 |   Event Load |   10 |      80.0%
kimi-k2-0905                                  |        7 |      Min ECT |   10 |      70.0%
kimi-k2-0905                                  |        7 |     ECT Load |   10 |      20.0%
kimi-k2-0905                                  |        8 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |        8 |   Event Load |   10 |      30.0%
kimi-k2-0905                                  |        8 |      Min ECT |   10 |      30.0%
kimi-k2-0905                                  |        8 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |        9 |   Min Events |   10 |     100.0%
kimi-k2-0905                                  |        9 |   Event Load |   10 |     100.0%
kimi-k2-0905                                  |        9 |      Min ECT |   10 |     100.0%
kimi-k2-0905                                  |        9 |     ECT Load |   10 |      40.0%
kimi-k2-0905                                  |       10 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |       10 |   Event Load |   10 |      50.0%
kimi-k2-0905                                  |       10 |      Min ECT |   10 |      50.0%
kimi-k2-0905                                  |       10 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       11 |   Min Events |   10 |      60.0%
kimi-k2-0905                                  |       11 |   Event Load |   10 |      50.0%
kimi-k2-0905                                  |       11 |      Min ECT |   10 |      30.0%
kimi-k2-0905                                  |       11 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       12 |   Min Events |   10 |      70.0%
kimi-k2-0905                                  |       12 |   Event Load |   10 |      60.0%
kimi-k2-0905                                  |       12 |      Min ECT |   10 |      60.0%
kimi-k2-0905                                  |       12 |     ECT Load |   10 |      70.0%
kimi-k2-0905                                  |       13 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       13 |   Event Load |   10 |      10.0%
kimi-k2-0905                                  |       13 |      Min ECT |   10 |      40.0%
kimi-k2-0905                                  |       13 |     ECT Load |   10 |      80.0%
kimi-k2-0905                                  |       14 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |       14 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       14 |      Min ECT |   10 |      10.0%
kimi-k2-0905                                  |       14 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       15 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       15 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       15 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       15 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       16 |   Min Events |   10 |      20.0%
kimi-k2-0905                                  |       16 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       16 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       16 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       17 |   Min Events |   10 |      80.0%
kimi-k2-0905                                  |       17 |   Event Load |   10 |      70.0%
kimi-k2-0905                                  |       17 |      Min ECT |   10 |      60.0%
kimi-k2-0905                                  |       17 |     ECT Load |   10 |      40.0%
kimi-k2-0905                                  |       18 |   Min Events |   10 |     100.0%
kimi-k2-0905                                  |       18 |   Event Load |   10 |      90.0%
kimi-k2-0905                                  |       18 |      Min ECT |   10 |      80.0%
kimi-k2-0905                                  |       18 |     ECT Load |   10 |      50.0%
kimi-k2-0905                                  |       19 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |       19 |   Event Load |   10 |      50.0%
kimi-k2-0905                                  |       19 |      Min ECT |   10 |      80.0%
kimi-k2-0905                                  |       19 |     ECT Load |   10 |      70.0%
kimi-k2-0905                                  |       20 |   Min Events |   10 |      60.0%
kimi-k2-0905                                  |       20 |   Event Load |   10 |      40.0%
kimi-k2-0905                                  |       20 |      Min ECT |   10 |      10.0%
kimi-k2-0905                                  |       20 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       21 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       21 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       21 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       21 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       22 |   Min Events |   10 |     100.0%
kimi-k2-0905                                  |       22 |   Event Load |   10 |      50.0%
kimi-k2-0905                                  |       22 |      Min ECT |   10 |      10.0%
kimi-k2-0905                                  |       22 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       23 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       23 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       23 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       23 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       24 |   Min Events |   10 |      60.0%
kimi-k2-0905                                  |       24 |   Event Load |   10 |      20.0%
kimi-k2-0905                                  |       24 |      Min ECT |   10 |      10.0%
kimi-k2-0905                                  |       24 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       27 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |       27 |   Event Load |   10 |      10.0%
kimi-k2-0905                                  |       27 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       27 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       28 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       28 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       28 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       28 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       29 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       29 |   Event Load |   10 |      10.0%
kimi-k2-0905                                  |       29 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       29 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       30 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       30 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       30 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       30 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       31 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       31 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       31 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       31 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       32 |   Min Events |   10 |       0.0%
kimi-k2-0905                                  |       32 |   Event Load |   10 |       0.0%
kimi-k2-0905                                  |       32 |      Min ECT |   10 |       0.0%
kimi-k2-0905                                  |       32 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       37 |   Min Events |   10 |      50.0%
kimi-k2-0905                                  |       37 |   Event Load |   10 |      20.0%
kimi-k2-0905                                  |       37 |      Min ECT |   10 |      30.0%
kimi-k2-0905                                  |       37 |     ECT Load |   10 |       0.0%
kimi-k2-0905                                  |       39 |   Min Events |   10 |      90.0%
kimi-k2-0905                                  |       39 |   Event Load |   10 |      40.0%
kimi-k2-0905                                  |       39 |      Min ECT |   10 |      20.0%
kimi-k2-0905                                  |       39 |     ECT Load |   10 |       0.0%

kimi-k2-0905 (lose)                           |        7 |   Min Events |   10 |     100.0%
kimi-k2-0905 (lose)                           |        7 |   Event Load |   10 |      50.0%
kimi-k2-0905 (lose)                           |        7 |      Min ECT |   10 |      30.0%
kimi-k2-0905 (lose)                           |        7 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |        8 |   Min Events |   10 |      10.0%
kimi-k2-0905 (lose)                           |        8 |   Event Load |   10 |      20.0%
kimi-k2-0905 (lose)                           |        8 |      Min ECT |   10 |      10.0%
kimi-k2-0905 (lose)                           |        8 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |        9 |   Min Events |   10 |     100.0%
kimi-k2-0905 (lose)                           |        9 |   Event Load |   10 |      70.0%
kimi-k2-0905 (lose)                           |        9 |      Min ECT |   10 |      60.0%
kimi-k2-0905 (lose)                           |        9 |     ECT Load |   10 |      10.0%
kimi-k2-0905 (lose)                           |       10 |   Min Events |   10 |      30.0%
kimi-k2-0905 (lose)                           |       10 |   Event Load |   10 |      30.0%
kimi-k2-0905 (lose)                           |       10 |      Min ECT |   10 |      40.0%
kimi-k2-0905 (lose)                           |       10 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       11 |   Min Events |   10 |      40.0%
kimi-k2-0905 (lose)                           |       11 |   Event Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       11 |      Min ECT |   10 |       0.0%
kimi-k2-0905 (lose)                           |       11 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       12 |   Min Events |   10 |      80.0%
kimi-k2-0905 (lose)                           |       12 |   Event Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       12 |      Min ECT |   10 |      80.0%
kimi-k2-0905 (lose)                           |       12 |     ECT Load |   10 |      40.0%
kimi-k2-0905 (lose)                           |       13 |   Min Events |   10 |      30.0%
kimi-k2-0905 (lose)                           |       13 |   Event Load |   10 |      50.0%
kimi-k2-0905 (lose)                           |       13 |      Min ECT |   10 |      80.0%
kimi-k2-0905 (lose)                           |       13 |     ECT Load |   10 |      60.0%
kimi-k2-0905 (lose)                           |       14 |   Min Events |   10 |       0.0%
kimi-k2-0905 (lose)                           |       14 |   Event Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       14 |      Min ECT |   10 |       0.0%
kimi-k2-0905 (lose)                           |       14 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       15 |   Min Events |   10 |       0.0%
kimi-k2-0905 (lose)                           |       15 |   Event Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       15 |      Min ECT |   10 |       0.0%
kimi-k2-0905 (lose)                           |       15 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       16 |   Min Events |   10 |       0.0%
kimi-k2-0905 (lose)                           |       16 |   Event Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       16 |      Min ECT |   10 |       0.0%
kimi-k2-0905 (lose)                           |       16 |     ECT Load |   10 |       0.0%
kimi-k2-0905 (lose)                           |       17 |   Min Events |   10 |     100.0%
kimi-k2-0905 (lose)                           |       17 |   Event Load |   10 |     100.0%
kimi-k2-0905 (lose)                           |       17 |      Min ECT |   10 |     100.0%
kimi-k2-0905 (lose)                           |       17 |     ECT Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       18 |   Min Events |   10 |     100.0%
kimi-k2-0905 (lose)                           |       18 |   Event Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       18 |      Min ECT |   10 |     100.0%
kimi-k2-0905 (lose)                           |       18 |     ECT Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       19 |   Min Events |   10 |      90.0%
kimi-k2-0905 (lose)                           |       19 |   Event Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       19 |      Min ECT |   10 |     100.0%
kimi-k2-0905 (lose)                           |       19 |     ECT Load |   10 |      90.0%
kimi-k2-0905 (lose)                           |       20 |   Min Events |   10 |      20.0%
