ToM Mastery Load Effects by Category
============================================================================================================================================

=== Self: Knowledge vs Belief ===
Distinguishing own knowledge from mere belief
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
openai-gpt-4.1-mini                           |   1040 |  28.3% ( 60) |  31.7% ( 60) |  30.0% ( 60) |  25.0% ( 60) |  28.7% (240)
openai-gpt-4o                                 |   1040 |  90.0% ( 60) |  81.7% ( 60) |  85.0% ( 60) |  60.0% ( 60) |  79.2% (240)
openai-gpt-4o-mini                            |   1040 |  36.7% ( 60) |  50.0% ( 60) |  48.3% ( 60) |  21.7% ( 60) |  39.2% (240)
openai-gpt-5-chat                             |   1040 |  88.3% ( 60) |  90.0% ( 60) |  85.0% ( 60) |  65.0% ( 60) |  82.1% (240)
openai-gpt-5-chat (CoT)                       |   1040 |  86.7% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  85.0% ( 60) |  92.9% (240)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  93.3% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  83.3% ( 60) |  94.2% (240)
openai-gpt-5.2-chat                           |   1040 |  98.3% ( 60) | 100.0% ( 60) |  98.3% ( 60) | 100.0% ( 60) |  99.2% (240)
openai-gpt-5.2_lowthink                       |   1040 |  70.0% ( 60) |  70.0% ( 60) |  68.3% ( 60) |  81.7% ( 60) |  72.5% (240)
openai-gpt-5.2_think                          |   1040 |  93.3% ( 60) |  95.0% ( 60) |  93.3% ( 60) |  81.7% ( 60) |  90.8% (240)
google-gemini-2.5-pro_think                   |   1037 |  95.0% ( 60) |  81.7% ( 60) |  75.0% ( 60) |  51.7% ( 60) |  75.8% (240)
google-gemini-3-flash-preview_nothink         |   1040 |  91.7% ( 60) |  93.3% ( 60) |  88.3% ( 60) |  55.0% ( 60) |  82.1% (240)
google-gemini-3-pro-preview_think             |   1037 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% (240)
google-gemini-3.1-pro-preview_think           |   1039 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  98.3% ( 59) |  99.6% (239)
x-ai-grok-3                                   |   1040 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% (240)
x-ai-grok-4-fast                              |   1040 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% (240)
deepseek-r1                                   |   1026 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  95.0% ( 60) |  98.8% (240)
deepseek-chat-v3-0324                         |   1040 |  55.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  51.2% (240)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  71.7% ( 60) |  71.7% ( 60) |  63.3% ( 60) |  86.4% ( 59) |  73.2% (239)
deepseek-chat-v3.1                            |   1040 |  83.3% ( 60) |  65.0% ( 60) |  50.0% ( 60) |  55.0% ( 60) |  63.3% (240)
deepseek-v3.2                                 |   1040 |  48.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  48.3% ( 60) |  49.2% (240)
kimi-k2-0905                                  |   1040 |  55.0% ( 60) |  51.7% ( 60) |  45.0% ( 60) |  28.3% ( 60) |  45.0% (240)
kimi-k2-0905 (CoT)                            |   1040 |   6.7% ( 60) |  10.0% ( 60) |   1.7% ( 60) |   3.3% ( 60) |   5.4% (240)
qwen3-235b-a22b                               |   1040 |  46.7% ( 60) |  48.3% ( 60) |  41.7% ( 60) |  40.0% ( 60) |  44.2% (240)
qwen3-235b-a22b (CoT)                         |   1040 |  36.7% ( 60) |  31.7% ( 60) |  33.3% ( 60) |  35.0% ( 60) |  34.2% (240)
qwen3-next-80b-a3b-instruct                   |   1040 |  38.3% ( 60) |  70.0% ( 60) |  68.3% ( 60) |  50.0% ( 60) |  56.7% (240)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  75.8% (2340) |  76.5% (2340) |  74.4% (2340) |  66.3% (2338) |  73.2% (9358)

=== Combined Uncertainty ===
Handling self + teammate uncertainty together
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |  20.0% ( 40) |  10.0% ( 40) |  30.0% ( 40) |  25.0% ( 40) |  21.2% (160)
anthropic-claude-3.7-sonnet                   |   1040 |  45.0% ( 40) |  25.0% ( 40) |  27.5% ( 40) |  37.5% ( 40) |  33.8% (160)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  60.0% ( 40) |  70.0% ( 40) |  60.0% ( 40) |  52.5% ( 40) |  60.6% (160)
anthropic-claude-sonnet-4                     |   1027 |  45.0% ( 40) |  45.0% ( 40) |  42.1% ( 38) |   9.1% ( 33) |  36.4% (151)
anthropic-claude-sonnet-4_think               |   1040 |  67.5% ( 40) |  65.0% ( 40) |  72.5% ( 40) |  57.5% ( 40) |  65.6% (160)
anthropic-claude-sonnet-4.5                   |   1014 |  55.0% ( 40) |  57.5% ( 40) |  55.0% ( 40) |  52.8% ( 36) |  55.1% (156)
anthropic-claude-sonnet-4.5_think             |   1040 |  65.0% ( 40) |  62.5% ( 40) |  65.0% ( 40) |  60.0% ( 40) |  63.1% (160)
anthropic-claude-sonnet-4.6_think             |   1040 |  35.0% ( 40) |  57.5% ( 40) |  52.5% ( 40) |  55.0% ( 40) |  50.0% (160)
anthropic-claude-opus-4_think                 |   1008 |  65.8% ( 38) |  65.8% ( 38) |  63.2% ( 38) |  57.9% ( 38) |  63.2% (152)
anthropic-claude-opus-4.6                     |   1040 |  87.5% ( 40) |  82.5% ( 40) |  80.0% ( 40) |  55.0% ( 40) |  76.2% (160)
anthropic-claude-opus-4.6 (CoT)               |   1040 |  70.0% ( 40) |  75.0% ( 40) |  67.5% ( 40) |  32.5% ( 40) |  61.3% (160)
anthropic-claude-opus-4.6_think               |   1040 |  62.5% ( 40) |  50.0% ( 40) |  60.0% ( 40) |  42.5% ( 40) |  53.8% (160)
openai-gpt-4-turbo                            |   1040 |  67.5% ( 40) |  72.5% ( 40) |  65.0% ( 40) |  92.5% ( 40) |  74.4% (160)
openai-gpt-4.1                                |   1040 |  92.5% ( 40) |  92.5% ( 40) |  85.0% ( 40) |  95.0% ( 40) |  91.2% (160)
openai-gpt-4.1-mini                           |   1040 |   2.5% ( 40) |  10.0% ( 40) |   7.5% ( 40) |   0.0% ( 40) |   5.0% (160)
openai-gpt-4o                                 |   1040 |  67.5% ( 40) |  72.5% ( 40) |  67.5% ( 40) |  90.0% ( 40) |  74.4% (160)
openai-gpt-4o-mini                            |   1040 |  47.5% ( 40) |  52.5% ( 40) |  60.0% ( 40) |  47.5% ( 40) |  51.9% (160)
openai-gpt-5-chat                             |   1040 |  45.0% ( 40) |  60.0% ( 40) |  62.5% ( 40) |  60.0% ( 40) |  56.9% (160)
openai-gpt-5-chat (CoT)                       |   1040 |  65.0% ( 40) |  65.0% ( 40) |  62.5% ( 40) |  57.5% ( 40) |  62.5% (160)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  65.0% ( 40) |  70.0% ( 40) |  67.5% ( 40) |  52.5% ( 40) |  63.7% (160)
openai-gpt-5.2-chat                           |   1040 |  67.5% ( 40) |  67.5% ( 40) |  67.5% ( 40) |  67.5% ( 40) |  67.5% (160)
openai-gpt-5.2_lowthink                       |   1040 |  37.5% ( 40) |  52.5% ( 40) |  52.5% ( 40) |  35.0% ( 40) |  44.4% (160)
openai-gpt-5.2_think                          |   1040 |  52.5% ( 40) |  45.0% ( 40) |  47.5% ( 40) |  22.5% ( 40) |  41.9% (160)
google-gemini-2.5-pro_think                   |   1037 |  42.5% ( 40) |  40.0% ( 40) |  45.0% ( 40) |  40.0% ( 40) |  41.9% (160)
google-gemini-3-flash-preview_nothink         |   1040 |  67.5% ( 40) |  70.0% ( 40) |  70.0% ( 40) |  47.5% ( 40) |  63.7% (160)
google-gemini-3-pro-preview_think             |   1037 |  62.5% ( 40) |  65.0% ( 40) |  67.5% ( 40) |  52.5% ( 40) |  61.9% (160)
google-gemini-3.1-pro-preview_think           |   1039 |  65.0% ( 40) |  65.0% ( 40) |  62.5% ( 40) |  50.0% ( 40) |  60.6% (160)
x-ai-grok-3                                   |   1040 |  27.5% ( 40) |  42.5% ( 40) |  45.0% ( 40) |  30.0% ( 40) |  36.2% (160)
x-ai-grok-4-fast                              |   1040 |  67.5% ( 40) |  67.5% ( 40) |  67.5% ( 40) |  62.5% ( 40) |  66.2% (160)
deepseek-r1                                   |   1026 |  66.7% ( 39) |  64.1% ( 39) |  67.5% ( 40) |  66.7% ( 39) |  66.2% (157)
deepseek-chat-v3-0324                         |   1040 |  35.0% ( 40) |  35.0% ( 40) |  30.0% ( 40) |   7.5% ( 40) |  26.9% (160)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  60.0% ( 40) |  55.0% ( 40) |  61.5% ( 39) |  50.0% ( 38) |  56.7% (157)
deepseek-chat-v3.1                            |   1040 |  47.5% ( 40) |  32.5% ( 40) |  45.0% ( 40) |  45.0% ( 40) |  42.5% (160)
deepseek-v3.2                                 |   1040 |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% (160)
kimi-k2-0905                                  |   1040 |  35.0% ( 40) |  22.5% ( 40) |  22.5% ( 40) |   0.0% ( 40) |  20.0% (160)
kimi-k2-0905 (CoT)                            |   1040 |  20.0% ( 40) |   5.0% ( 40) |  17.5% ( 40) |   2.5% ( 40) |  11.2% (160)
qwen3-235b-a22b                               |   1040 |   2.5% ( 40) |   2.5% ( 40) |   5.0% ( 40) |   2.5% ( 40) |   3.1% (160)
qwen3-235b-a22b (CoT)                         |   1040 |   0.0% ( 40) |   0.0% ( 40) |   2.5% ( 40) |   5.0% ( 40) |   1.9% (160)
qwen3-next-80b-a3b-instruct                   |   1040 |  22.5% ( 40) |  27.5% ( 40) |  17.5% ( 40) |  10.0% ( 40) |  19.4% (160)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  48.9% (1557) |  49.2% (1557) |  49.9% (1555) |  41.8% (1544) |  47.5% (6213)

=== True vs False Belief ===
Distinguishing true belief from false belief
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |  56.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  51.7% (240)
anthropic-claude-3.7-sonnet                   |   1040 |  58.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  52.1% (240)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  93.3% ( 60) |  70.0% ( 60) |  75.0% ( 60) |  61.7% ( 60) |  75.0% (240)
anthropic-claude-sonnet-4                     |   1027 |  53.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.8% (240)
anthropic-claude-sonnet-4_think               |   1040 |  91.7% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  85.0% ( 60) |  94.2% (240)
anthropic-claude-sonnet-4.5                   |   1014 |  60.0% ( 60) |  50.0% ( 60) |  51.7% ( 60) |  51.7% ( 60) |  53.3% (240)
anthropic-claude-sonnet-4.5_think             |   1040 | 100.0% ( 60) | 100.0% ( 60) |  98.3% ( 60) |  98.3% ( 60) |  99.2% (240)
anthropic-claude-sonnet-4.6_think             |   1040 |  63.3% ( 60) |  63.3% ( 60) |  68.3% ( 60) |  50.0% ( 60) |  61.3% (240)
anthropic-claude-opus-4_think                 |   1008 |  98.2% ( 57) | 100.0% ( 58) | 100.0% ( 58) | 100.0% ( 58) |  99.6% (231)
anthropic-claude-opus-4.6                     |   1040 |  60.0% ( 60) |  61.7% ( 60) |  63.3% ( 60) |  50.0% ( 60) |  58.8% (240)
anthropic-claude-opus-4.6 (CoT)               |   1040 |  76.7% ( 60) |  98.3% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  93.8% (240)
anthropic-claude-opus-4.6_think               |   1040 | 100.0% ( 60) | 100.0% ( 60) |  96.7% ( 60) |  98.3% ( 60) |  98.8% (240)
openai-gpt-4-turbo                            |   1040 |  63.3% ( 60) |  65.0% ( 60) |  61.7% ( 60) |  55.0% ( 60) |  61.3% (240)
openai-gpt-4.1                                |   1040 |  48.3% ( 60) |  65.0% ( 60) |  55.0% ( 60) |  48.3% ( 60) |  54.2% (240)
openai-gpt-4.1-mini                           |   1040 |  25.0% ( 60) |  25.0% ( 60) |  28.3% ( 60) |  25.0% ( 60) |  25.8% (240)
openai-gpt-4o                                 |   1040 |  63.3% ( 60) |  78.3% ( 60) |  80.0% ( 60) |  65.0% ( 60) |  71.7% (240)
openai-gpt-4o-mini                            |   1040 |  50.0% ( 60) |  48.3% ( 60) |  40.0% ( 60) |  31.7% ( 60) |  42.5% (240)
openai-gpt-5-chat                             |   1040 |  65.0% ( 60) |  75.0% ( 60) |  71.7% ( 60) |  58.3% ( 60) |  67.5% (240)
openai-gpt-5-chat (CoT)                       |   1040 |  75.0% ( 60) | 100.0% ( 60) |  98.3% ( 60) |  93.3% ( 60) |  91.7% (240)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  78.3% ( 60) |  91.7% ( 60) |  96.7% ( 60) |  96.7% ( 60) |  90.8% (240)
openai-gpt-5.2-chat                           |   1040 |  98.3% ( 60) | 100.0% ( 60) |  98.3% ( 60) | 100.0% ( 60) |  99.2% (240)
openai-gpt-5.2_lowthink                       |   1040 |  75.0% ( 60) |  61.7% ( 60) |  60.0% ( 60) |  68.3% ( 60) |  66.2% (240)
openai-gpt-5.2_think                          |   1040 |  91.7% ( 60) |  75.0% ( 60) |  78.3% ( 60) |  61.7% ( 60) |  76.7% (240)
google-gemini-2.5-pro_think                   |   1037 |  62.7% ( 59) |  58.3% ( 60) |  56.7% ( 60) |  50.0% ( 60) |  56.9% (239)
google-gemini-3-flash-preview_nothink         |   1040 |  56.7% ( 60) |  73.3% ( 60) |  70.0% ( 60) |  50.0% ( 60) |  62.5% (240)
google-gemini-3-pro-preview_think             |   1037 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% (240)
google-gemini-3.1-pro-preview_think           |   1039 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 59) | 100.0% (239)
x-ai-grok-3                                   |   1040 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% (240)
x-ai-grok-4-fast                              |   1040 | 100.0% ( 60) |  90.0% ( 60) |  85.0% ( 60) |  93.3% ( 60) |  92.1% (240)
deepseek-r1                                   |   1026 |  88.1% ( 59) |  89.7% ( 58) |  84.5% ( 58) |  79.7% ( 59) |  85.5% (234)
deepseek-chat-v3-0324                         |   1040 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% (240)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  71.7% ( 60) |  83.3% ( 60) |  78.0% ( 59) |  84.7% ( 59) |  79.4% (238)
deepseek-chat-v3.1                            |   1040 |  58.3% ( 60) |  51.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  52.5% (240)
deepseek-v3.2                                 |   1040 |  48.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  48.3% ( 60) |  49.2% (240)
kimi-k2-0905                                  |   1040 |  40.0% ( 60) |  46.7% ( 60) |  45.0% ( 60) |  28.3% ( 60) |  40.0% (240)
kimi-k2-0905 (CoT)                            |   1040 |   0.0% ( 60) |  11.7% ( 60) |   0.0% ( 60) |   3.3% ( 60) |   3.8% (240)
qwen3-235b-a22b                               |   1040 |  46.7% ( 60) |  48.3% ( 60) |  41.7% ( 60) |  40.0% ( 60) |  44.2% (240)
qwen3-235b-a22b (CoT)                         |   1040 |  36.7% ( 60) |  31.7% ( 60) |  33.3% ( 60) |  35.0% ( 60) |  34.2% (240)
qwen3-next-80b-a3b-instruct                   |   1040 |  40.0% ( 60) |  51.7% ( 60) |  55.0% ( 60) |  50.0% ( 60) |  49.2% (240)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  66.5% (2335) |  68.3% (2336) |  67.2% (2335) |  63.0% (2335) |  66.2% (9341)

=== Teammate vs Opponent ===
Treating teammate differently from opponent
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |  41.0% (100) |  34.0% (100) |  32.0% (100) |  44.0% (100) |  37.8% (400)
anthropic-claude-3.7-sonnet                   |   1040 |  46.0% (100) |  40.0% (100) |  41.0% (100) |  42.0% (100) |  42.2% (400)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  71.0% (100) |  63.0% (100) |  72.0% (100) |  71.0% (100) |  69.2% (400)
anthropic-claude-sonnet-4                     |   1027 |  35.0% (100) |  38.0% (100) |  36.0% (100) |  46.9% ( 96) |  38.9% (396)
anthropic-claude-sonnet-4_think               |   1040 |  79.0% (100) |  79.0% (100) |  81.0% (100) |  78.0% (100) |  79.2% (400)
anthropic-claude-sonnet-4.5                   |   1014 |  44.0% (100) |  49.0% (100) |  49.5% ( 99) |  41.7% ( 96) |  46.1% (395)
anthropic-claude-sonnet-4.5_think             |   1040 |  82.0% (100) |  82.0% (100) |  85.0% (100) |  80.0% (100) |  82.2% (400)
anthropic-claude-sonnet-4.6_think             |   1040 |  50.0% (100) |  49.0% (100) |  54.0% (100) |  39.0% (100) |  48.0% (400)
anthropic-claude-opus-4_think                 |   1008 |  80.6% ( 98) |  81.6% ( 98) |  80.6% ( 98) |  82.7% ( 98) |  81.4% (392)
anthropic-claude-opus-4.6                     |   1040 |  52.0% (100) |  63.0% (100) |  73.0% (100) |  49.0% (100) |  59.2% (400)
anthropic-claude-opus-4.6 (CoT)               |   1040 |  81.0% (100) |  80.0% (100) |  82.0% (100) |  96.0% (100) |  84.8% (400)
anthropic-claude-opus-4.6_think               |   1040 |  98.0% (100) |  89.0% (100) |  92.0% (100) |  99.0% (100) |  94.5% (400)
openai-gpt-4-turbo                            |   1040 |  75.0% (100) |  75.0% (100) |  80.0% (100) |  75.0% (100) |  76.2% (400)
openai-gpt-4.1                                |   1040 |  55.0% (100) |  61.0% (100) |  55.0% (100) |  61.0% (100) |  58.0% (400)
openai-gpt-4.1-mini                           |   1040 |  35.0% (100) |  35.0% (100) |  35.0% (100) |  35.0% (100) |  35.0% (400)
openai-gpt-4o                                 |   1040 |  77.0% (100) |  68.0% (100) |  69.0% (100) |  60.0% (100) |  68.5% (400)
openai-gpt-4o-mini                            |   1040 |  69.0% (100) |  67.0% (100) |  65.0% (100) |  65.0% (100) |  66.5% (400)
openai-gpt-5-chat                             |   1040 |  77.0% (100) |  73.0% (100) |  67.0% (100) |  73.0% (100) |  72.5% (400)
openai-gpt-5-chat (CoT)                       |   1040 |  79.0% (100) |  72.0% (100) |  73.0% (100) |  71.0% (100) |  73.8% (400)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  77.0% (100) |  72.0% (100) |  77.0% (100) |  74.0% (100) |  75.0% (400)
openai-gpt-5.2-chat                           |   1040 |  78.0% (100) |  75.0% (100) |  75.0% (100) |  81.0% (100) |  77.2% (400)
openai-gpt-5.2_lowthink                       |   1040 |  48.0% (100) |  47.0% (100) |  58.0% (100) |  51.0% (100) |  51.0% (400)
openai-gpt-5.2_think                          |   1040 |  76.0% (100) |  73.0% (100) |  73.0% (100) |  80.0% (100) |  75.5% (400)
google-gemini-2.5-pro_think                   |   1037 |  56.6% ( 99) |  48.0% (100) |  46.0% (100) |  34.0% (100) |  46.1% (399)
