ToM MASTERY SCORES BY CATEGORY (Overall)
==============================================================================================================================================================================================
Model                                         |      N |    Self: Knowledge |    Teammate: Knowl |    Combined Uncert |    True vs False B |    Teammate vs Opp |     Strategic Lies |   TM vs Opp (lies)
x-ai-grok-4-fast                              |   1040 |   53.1% ( 480) |  100.0% ( 240) |   66.2% ( 160) |   92.1% ( 240) |   81.0% ( 400) |   63.7% ( 240) |   81.0% ( 400)
deepseek-r1                                   |   1026 |   59.6% ( 478) |   98.8% ( 240) |   66.2% ( 157) |   85.5% ( 234) |   82.0% ( 399) |   69.5% ( 236) |   83.7% ( 399)
deepseek-chat-v3-0324                         |   1040 |   41.2% ( 480) |   51.2% ( 240) |   26.9% ( 160) |   50.0% ( 240) |   34.2% ( 400) |    0.0% ( 240) |   35.8% ( 400)
deepseek-chat-v3-0324 (CoT)                   |   1030 |   51.0% ( 473) |   73.2% ( 239) |   56.7% ( 157) |   79.4% ( 238) |   63.4% ( 399) |   57.3% ( 239) |   73.9% ( 399)
deepseek-chat-v3.1                            |   1040 |   53.8% ( 480) |   63.3% ( 240) |   42.5% ( 160) |   52.5% ( 240) |   42.8% ( 400) |    2.1% ( 240) |   48.8% ( 400)
deepseek-v3.2                                 |   1040 |   14.0% ( 480) |   49.2% ( 240) |    0.0% ( 160) |   49.2% ( 240) |   34.8% ( 400) |    0.8% ( 240) |   46.5% ( 400)
kimi-k2-0905                                  |   1040 |   59.0% ( 480) |   45.0% ( 240) |   20.0% ( 160) |   40.0% ( 240) |   37.8% ( 400) |    2.9% ( 240) |   45.8% ( 400)
kimi-k2-0905 (CoT)                            |   1040 |   48.3% ( 480) |    5.4% ( 240) |   11.2% ( 160) |    3.8% ( 240) |   15.5% ( 400) |    0.8% ( 240) |   16.0% ( 400)
qwen3-235b-a22b                               |   1040 |   40.6% ( 480) |   44.2% ( 240) |    3.1% ( 160) |   44.2% ( 240) |   41.2% ( 400) |    0.0% ( 240) |   45.2% ( 400)
qwen3-235b-a22b (CoT)                         |   1040 |   33.1% ( 480) |   34.2% ( 240) |    1.9% ( 160) |   34.2% ( 240) |   33.2% ( 400) |    0.0% ( 240) |   38.0% ( 400)
qwen3-next-80b-a3b-instruct                   |   1040 |   47.9% ( 480) |   56.7% ( 240) |   19.4% ( 160) |   49.2% ( 240) |   46.2% ( 400) |    0.0% ( 240) |   46.5% ( 400)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |   54.5% (18641) |   73.2% (9358) |   47.5% (6213) |   66.2% (9341) |   59.6% (15576) |   33.1% (9343) |   64.2% (15576)
==============================================================================================================================================================================================
