model,extra,scenario,expected_action,total_errors,action_type_errors,action_type_pct,with_correct_args,with_wrong_args,argument_only_errors,arg_only_pct
anthropic-claude-opus-4.6_think,1B,12,Ask,3,3,100.0,3,0,0,0.0
anthropic-claude-opus-4.6_think,1B,13,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,14,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,15,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,16,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,17,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,18,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,19,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,20,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,21,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,22,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,23,Pass,3,3,100.0,3,0,0,0.0
anthropic-claude-opus-4.6_think,1B,24,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,27,Pass,2,2,100.0,1,1,0,0.0
anthropic-claude-opus-4.6_think,1B,28,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,29,Pass,1,1,100.0,1,0,0,0.0
anthropic-claude-opus-4.6_think,1B,30,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,31,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,32,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,37,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,39,Pass,0,0,0.0,0,0,0,0.0
