ToM MASTERY SCORES BY CATEGORY (Overall)
==============================================================================================================================================================================================
Model                                         |      N |    Self: Knowledge |    Teammate: Knowl |    Combined Uncert |    True vs False B |    Teammate vs Opp |     Strategic Lies |   TM vs Opp (lies)
llama-3.1-70b-instruct (with COT)             |   3179 |   58.1% (1008) |   45.6% ( 480) |   30.2% ( 328) |   45.0% ( 487) |   36.5% ( 808) |   19.0% ( 480) |   48.4% ( 808)
mistral-large-2512                            |   1560 |   15.0% ( 480) |   47.5% ( 240) |   28.7% ( 160) |   45.0% ( 240) |   27.0% ( 400) |    0.8% ( 240) |   42.2% ( 400)
mistral-large-2512 (with COT)                 |    834 |   29.9% ( 288) |   52.5% ( 120) |   12.6% (  87) |   53.7% ( 123) |   40.4% ( 208) |    0.8% ( 120) |   40.4% ( 208)
mistral-large-2512_think                      |    156 |   16.7% (  48) |   50.0% (  24) |   25.0% (  16) |   50.0% (  24) |   30.0% (  40) |    4.2% (  24) |   45.0% (  40)
mistral-large-2512_think (with COT)           |   1182 |   30.4% ( 381) |   50.6% ( 168) |   20.5% ( 122) |   47.0% ( 168) |   33.4% ( 299) |   11.5% ( 192) |   41.1% ( 299)
mistral-small-24b-instruct-2501               |   1560 |   31.9% ( 480) |   28.7% ( 240) |    0.0% ( 160) |   28.7% ( 240) |   30.0% ( 400) |    0.0% ( 240) |   32.8% ( 400)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |   36.9% ( 480) |   45.0% ( 240) |   31.9% ( 160) |   45.8% ( 240) |   42.9% ( 399) |   18.3% ( 240) |   52.6% ( 399)
mistral-small-24b-instruct-2501_think         |   1560 |   31.2% ( 480) |   29.6% ( 240) |    0.0% ( 160) |   29.6% ( 240) |   30.2% ( 400) |    0.0% ( 240) |   33.8% ( 400)
qwen3-32b                                     |   1560 |   43.8% ( 480) |   50.4% ( 240) |   81.9% ( 160) |   35.4% ( 240) |   34.0% ( 400) |    5.0% ( 240) |   34.0% ( 400)
qwen3-32b (with COT)                          |   1559 |   35.0% ( 480) |   27.5% ( 240) |   83.8% ( 160) |   21.7% ( 240) |   34.5% ( 400) |   17.1% ( 240) |   35.5% ( 400)
qwen3-32b_think                               |   1549 |   50.8% ( 478) |   97.9% ( 239) |   49.4% ( 160) |   92.9% ( 240) |   74.5% ( 396) |   58.9% ( 236) |   75.5% ( 396)
qwen3-next-80b-a3b-instruct                   |   1560 |   25.6% ( 480) |   49.6% ( 240) |    4.4% ( 160) |   49.2% ( 240) |   38.5% ( 400) |    0.0% ( 240) |   40.0% ( 400)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |    7.9% ( 480) |   49.2% ( 240) |    0.0% ( 160) |   49.2% ( 240) |   31.5% ( 400) |    0.0% ( 240) |   32.2% ( 400)
qwen3-next-80b-a3b-thinking_think             |   1516 |   50.0% ( 472) |  100.0% ( 240) |   47.5% ( 160) |   99.2% ( 239) |   78.6% ( 397) |   63.8% ( 229) |   79.6% ( 397)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |   41.7% (12492) |   50.3% (6189) |   29.7% (4152) |   46.3% (6193) |   42.8% (10340) |   18.6% (6191) |   47.1% (10340)
==============================================================================================================================================================================================
