Model                                         | Scenario |        Extra |    N |   Accuracy
anthropic-claude-opus-4.6                     |       13 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6                     |       13 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       13 |      Min ECT |   10 |       0.0%
anthropic-claude-opus-4.6                     |       13 |     ECT Load |   10 |      10.0%
anthropic-claude-opus-4.6                     |       14 |   Min Events |   10 |      30.0%
anthropic-claude-opus-4.6                     |       14 |   Event Load |   10 |      40.0%
anthropic-claude-opus-4.6                     |       14 |      Min ECT |    9 |      33.3%
anthropic-claude-opus-4.6                     |       14 |     ECT Load |    9 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       15 |      Min ECT |   10 |      10.0%
anthropic-claude-opus-4.6                     |       15 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       16 |   Min Events |   10 |      30.0%
anthropic-claude-opus-4.6                     |       16 |   Event Load |   10 |      30.0%
anthropic-claude-opus-4.6                     |       16 |      Min ECT |   10 |      50.0%
anthropic-claude-opus-4.6                     |       16 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       17 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       17 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       17 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       17 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       18 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       18 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       18 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       18 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       19 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       19 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       19 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       19 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       20 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       20 |   Event Load |   10 |      90.0%
anthropic-claude-opus-4.6                     |       20 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       20 |     ECT Load |   10 |      50.0%
anthropic-claude-opus-4.6                     |       21 |   Min Events |   10 |      90.0%
anthropic-claude-opus-4.6                     |       21 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       21 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       21 |     ECT Load |   10 |      80.0%
anthropic-claude-opus-4.6                     |       22 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       22 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       22 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.6                     |       22 |     ECT Load |   10 |      10.0%
anthropic-claude-opus-4.6                     |       23 |   Min Events |   10 |      80.0%
anthropic-claude-opus-4.6                     |       23 |   Event Load |   10 |      80.0%
anthropic-claude-opus-4.6                     |       23 |      Min ECT |   10 |      70.0%
anthropic-claude-opus-4.6                     |       23 |     ECT Load |   10 |      40.0%
anthropic-claude-opus-4.6                     |       24 |   Min Events |   10 |      70.0%
anthropic-claude-opus-4.6                     |       24 |   Event Load |   10 |      50.0%
anthropic-claude-opus-4.6                     |       24 |      Min ECT |   10 |      50.0%
anthropic-claude-opus-4.6                     |       24 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       27 |   Min Events |   10 |      90.0%
anthropic-claude-opus-4.6                     |       27 |   Event Load |   10 |      90.0%
anthropic-claude-opus-4.6                     |       27 |      Min ECT |   10 |      90.0%
anthropic-claude-opus-4.6                     |       27 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       28 |   Min Events |   10 |      10.0%
anthropic-claude-opus-4.6                     |       28 |   Event Load |   10 |      80.0%
anthropic-claude-opus-4.6                     |       28 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.6                     |       28 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       29 |   Min Events |   10 |      50.0%
anthropic-claude-opus-4.6                     |       29 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       29 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       29 |     ECT Load |   10 |      10.0%
anthropic-claude-opus-4.6                     |       30 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6                     |       30 |   Event Load |   10 |      20.0%
anthropic-claude-opus-4.6                     |       30 |      Min ECT |   10 |      50.0%
anthropic-claude-opus-4.6                     |       30 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       31 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6                     |       31 |   Event Load |   10 |      50.0%
anthropic-claude-opus-4.6                     |       31 |      Min ECT |   10 |      90.0%
anthropic-claude-opus-4.6                     |       31 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       32 |   Min Events |   10 |      20.0%
anthropic-claude-opus-4.6                     |       32 |   Event Load |   10 |      60.0%
anthropic-claude-opus-4.6                     |       32 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       32 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       37 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       37 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       37 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       37 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.6                     |       39 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       39 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       39 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       39 |     ECT Load |   10 |      90.0%

deepseek-chat-v3.1                            |        7 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |        7 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |        7 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |        7 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1                            |        8 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |        8 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |        8 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |        8 |     ECT Load |   10 |      10.0%
deepseek-chat-v3.1                            |        9 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |        9 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |        9 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |        9 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1                            |       10 |   Min Events |   10 |      90.0%
deepseek-chat-v3.1                            |       10 |   Event Load |   10 |      60.0%
deepseek-chat-v3.1                            |       10 |      Min ECT |   10 |      80.0%
deepseek-chat-v3.1                            |       10 |     ECT Load |   10 |      80.0%
deepseek-chat-v3.1                            |       11 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |       11 |   Event Load |   10 |      80.0%
deepseek-chat-v3.1                            |       11 |      Min ECT |   10 |      90.0%
deepseek-chat-v3.1                            |       11 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1                            |       12 |   Min Events |   10 |      10.0%
deepseek-chat-v3.1                            |       12 |   Event Load |   10 |      30.0%
deepseek-chat-v3.1                            |       12 |      Min ECT |   10 |      10.0%
deepseek-chat-v3.1                            |       12 |     ECT Load |   10 |      10.0%
deepseek-chat-v3.1                            |       13 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1                            |       13 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       13 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       13 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       14 |   Min Events |   10 |      10.0%
deepseek-chat-v3.1                            |       14 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       14 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       14 |     ECT Load |   10 |      10.0%
deepseek-chat-v3.1                            |       15 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1                            |       15 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       15 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       15 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       16 |   Min Events |   10 |      50.0%
deepseek-chat-v3.1                            |       16 |   Event Load |   10 |      10.0%
deepseek-chat-v3.1                            |       16 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       16 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       17 |   Min Events |   10 |      80.0%
deepseek-chat-v3.1                            |       17 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |       17 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |       17 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1                            |       18 |   Min Events |   10 |      80.0%
deepseek-chat-v3.1                            |       18 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |       18 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |       18 |     ECT Load |   10 |      90.0%
deepseek-chat-v3.1                            |       19 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |       19 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1                            |       19 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1                            |       19 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1                            |       20 |   Min Events |   10 |      80.0%
deepseek-chat-v3.1                            |       20 |   Event Load |   10 |      30.0%
deepseek-chat-v3.1                            |       20 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       20 |     ECT Load |   10 |      10.0%
deepseek-chat-v3.1                            |       21 |   Min Events |   10 |      70.0%
deepseek-chat-v3.1                            |       21 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       21 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       21 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       22 |   Min Events |   10 |      90.0%
deepseek-chat-v3.1                            |       22 |   Event Load |   10 |      30.0%
deepseek-chat-v3.1                            |       22 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       22 |     ECT Load |   10 |      20.0%
deepseek-chat-v3.1                            |       23 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1                            |       23 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       23 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       23 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       24 |   Min Events |   10 |      30.0%
deepseek-chat-v3.1                            |       24 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       24 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       24 |     ECT Load |   10 |      20.0%
deepseek-chat-v3.1                            |       27 |   Min Events |   10 |      20.0%
deepseek-chat-v3.1                            |       27 |   Event Load |   10 |      20.0%
deepseek-chat-v3.1                            |       27 |      Min ECT |   10 |      10.0%
deepseek-chat-v3.1                            |       27 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       28 |   Min Events |   10 |      20.0%
deepseek-chat-v3.1                            |       28 |   Event Load |   10 |      50.0%
deepseek-chat-v3.1                            |       28 |      Min ECT |   10 |      30.0%
deepseek-chat-v3.1                            |       28 |     ECT Load |   10 |      30.0%
deepseek-chat-v3.1                            |       29 |   Min Events |   10 |      50.0%
deepseek-chat-v3.1                            |       29 |   Event Load |   10 |      50.0%
deepseek-chat-v3.1                            |       29 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       29 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       30 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1                            |       30 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1                            |       30 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       30 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       31 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1                            |       31 |   Event Load |   10 |      10.0%
deepseek-chat-v3.1                            |       31 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       31 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       32 |   Min Events |   10 |      20.0%
deepseek-chat-v3.1                            |       32 |   Event Load |   10 |      10.0%
deepseek-chat-v3.1                            |       32 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1                            |       32 |     ECT Load |   10 |       0.0%
deepseek-chat-v3.1                            |       37 |   Min Events |   10 |      90.0%
deepseek-chat-v3.1                            |       37 |   Event Load |   10 |      80.0%
deepseek-chat-v3.1                            |       37 |      Min ECT |   10 |      80.0%
deepseek-chat-v3.1                            |       37 |     ECT Load |   10 |      40.0%
deepseek-chat-v3.1                            |       39 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1                            |       39 |   Event Load |   10 |      90.0%
deepseek-chat-v3.1                            |       39 |      Min ECT |   10 |      30.0%
deepseek-chat-v3.1                            |       39 |     ECT Load |   10 |       0.0%

deepseek-chat-v3.1 (with COT)                 |        7 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        7 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        7 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        7 |     ECT Load |   10 |      50.0%
deepseek-chat-v3.1 (with COT)                 |        8 |   Min Events |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |        8 |   Event Load |   10 |      50.0%
deepseek-chat-v3.1 (with COT)                 |        8 |      Min ECT |   10 |      60.0%
deepseek-chat-v3.1 (with COT)                 |        8 |     ECT Load |    9 |      55.6%
deepseek-chat-v3.1 (with COT)                 |        9 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        9 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        9 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |        9 |     ECT Load |   10 |      30.0%
deepseek-chat-v3.1 (with COT)                 |       10 |   Min Events |   10 |      70.0%
deepseek-chat-v3.1 (with COT)                 |       10 |   Event Load |   10 |      80.0%
deepseek-chat-v3.1 (with COT)                 |       10 |      Min ECT |   10 |      90.0%
deepseek-chat-v3.1 (with COT)                 |       10 |     ECT Load |    9 |      77.8%
deepseek-chat-v3.1 (with COT)                 |       11 |   Min Events |   10 |      80.0%
deepseek-chat-v3.1 (with COT)                 |       11 |   Event Load |   10 |      60.0%
deepseek-chat-v3.1 (with COT)                 |       11 |      Min ECT |   10 |      70.0%
deepseek-chat-v3.1 (with COT)                 |       11 |     ECT Load |   10 |      70.0%
deepseek-chat-v3.1 (with COT)                 |       12 |   Min Events |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       12 |   Event Load |   10 |      20.0%
deepseek-chat-v3.1 (with COT)                 |       12 |      Min ECT |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       12 |     ECT Load |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       13 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       13 |   Event Load |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       13 |      Min ECT |   10 |      40.0%
deepseek-chat-v3.1 (with COT)                 |       13 |     ECT Load |   10 |      30.0%
deepseek-chat-v3.1 (with COT)                 |       14 |   Min Events |   10 |      30.0%
deepseek-chat-v3.1 (with COT)                 |       14 |   Event Load |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       14 |      Min ECT |   10 |      10.0%
deepseek-chat-v3.1 (with COT)                 |       14 |     ECT Load |   10 |      30.0%
deepseek-chat-v3.1 (with COT)                 |       15 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       15 |   Event Load |   10 |      70.0%
deepseek-chat-v3.1 (with COT)                 |       15 |      Min ECT |   10 |      30.0%
deepseek-chat-v3.1 (with COT)                 |       15 |     ECT Load |   10 |      70.0%
deepseek-chat-v3.1 (with COT)                 |       16 |   Min Events |   10 |      40.0%
deepseek-chat-v3.1 (with COT)                 |       16 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       16 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       16 |     ECT Load |   10 |      20.0%
deepseek-chat-v3.1 (with COT)                 |       17 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       17 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       17 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       17 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       18 |   Min Events |   10 |      90.0%
deepseek-chat-v3.1 (with COT)                 |       18 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       18 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       18 |     ECT Load |   10 |      90.0%
deepseek-chat-v3.1 (with COT)                 |       19 |   Min Events |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       19 |   Event Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       19 |      Min ECT |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       19 |     ECT Load |   10 |     100.0%
deepseek-chat-v3.1 (with COT)                 |       20 |   Min Events |   10 |      50.0%
deepseek-chat-v3.1 (with COT)                 |       20 |   Event Load |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       20 |      Min ECT |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       20 |     ECT Load |   10 |      20.0%
deepseek-chat-v3.1 (with COT)                 |       21 |   Min Events |   10 |       0.0%
deepseek-chat-v3.1 (with COT)                 |       21 |   Event Load |   10 |      10.0%
