Model,Extra,Self: Knowledge vs Belief,Teammate: Knowledge vs Belief,Combined Uncertainty,True vs False Belief,Teammate vs Opponent,Strategic Lies
anthropic-claude-opus-4.6 (with COT),Overall,60.6,99.6,62.5,92.1,83.2,60.4
anthropic-claude-opus-4.6 (with COT),Minimal Events,57.5,100.0,72.5,76.7,81.0,53.3
anthropic-claude-opus-4.6 (with COT),Event Load,50.0,100.0,70.0,98.3,80.0,60.0
anthropic-claude-opus-4.6 (with COT),Minimal ECT,50.0,98.3,70.0,98.3,79.0,50.0
anthropic-claude-opus-4.6 (with COT),ECT Load,85.0,100.0,37.5,95.0,93.0,78.3
anthropic-claude-opus-4.6_lowthink,Overall,50.0,91.7,84.4,56.2,53.8,10.4
anthropic-claude-opus-4.6_lowthink,Minimal Events,50.0,100.0,87.5,58.3,50.0,0.0
anthropic-claude-opus-4.6_lowthink,Event Load,50.0,100.0,87.5,58.3,60.0,16.7
anthropic-claude-opus-4.6_lowthink,Minimal ECT,50.0,100.0,87.5,58.3,65.0,25.0
anthropic-claude-opus-4.6_lowthink,ECT Load,50.0,66.7,75.0,50.0,40.0,0.0
anthropic-claude-opus-4.6_lowthink (with COT),Overall,62.5,100.0,68.8,91.7,85.0,62.5
anthropic-claude-opus-4.6_lowthink (with COT),Minimal Events,62.5,100.0,75.0,75.0,85.0,58.3
anthropic-claude-opus-4.6_lowthink (with COT),Event Load,50.0,100.0,75.0,100.0,80.0,66.7
anthropic-claude-opus-4.6_lowthink (with COT),Minimal ECT,50.0,100.0,75.0,100.0,80.0,50.0
anthropic-claude-opus-4.6_lowthink (with COT),ECT Load,87.5,100.0,50.0,91.7,95.0,75.0
anthropic-claude-opus-4.6_think,Overall,85.0,100.0,62.5,98.3,94.0,52.5
anthropic-claude-opus-4.6_think,Minimal Events,95.0,100.0,70.0,96.7,98.0,50.0
anthropic-claude-opus-4.6_think,Event Load,75.0,100.0,70.0,100.0,90.0,53.3
anthropic-claude-opus-4.6_think,Minimal ECT,75.0,100.0,65.0,100.0,90.0,50.0
anthropic-claude-opus-4.6_think,ECT Load,95.0,100.0,45.0,96.7,98.0,56.7
anthropic-claude-opus-4.6_think (with COT),Overall,92.5,100.0,55.0,98.3,97.0,52.5
anthropic-claude-opus-4.6_think (with COT),Minimal Events,95.0,100.0,65.0,96.7,98.0,53.3
anthropic-claude-opus-4.6_think (with COT),Event Load,90.0,100.0,65.0,100.0,96.0,50.0
anthropic-claude-opus-4.6_think (with COT),Minimal ECT,90.0,100.0,55.0,100.0,96.0,53.3
anthropic-claude-opus-4.6_think (with COT),ECT Load,95.0,100.0,35.0,96.7,98.0,53.3
anthropic-claude-opus-4.6_think_defaulttemp,Overall,82.5,100.0,58.8,100.0,93.0,53.3
anthropic-claude-opus-4.6_think_defaulttemp,Minimal Events,80.0,100.0,65.0,100.0,92.0,50.0
anthropic-claude-opus-4.6_think_defaulttemp,Event Load,75.0,100.0,65.0,100.0,90.0,50.0
anthropic-claude-opus-4.6_think_defaulttemp,Minimal ECT,85.0,100.0,60.0,100.0,94.0,53.3
anthropic-claude-opus-4.6_think_defaulttemp,ECT Load,90.0,100.0,45.0,100.0,96.0,60.0
kimi-k2-0905,Overall,49.6,46.2,24.4,42.0,35.7,2.3
kimi-k2-0905,Minimal Events,50.0,65.2,38.6,54.5,42.7,9.1
kimi-k2-0905,Event Load,54.5,53.0,29.5,48.5,39.1,0.0
kimi-k2-0905,Minimal ECT,55.3,39.4,27.3,37.9,30.9,0.0
kimi-k2-0905,ECT Load,38.6,27.3,2.3,27.3,30.0,0.0
kimi-k2-0905 (with COT),Overall,49.4,7.5,8.1,8.8,17.2,0.4
kimi-k2-0905 (with COT),Minimal Events,66.7,8.3,12.5,5.0,21.0,0.0
kimi-k2-0905 (with COT),Event Load,42.5,8.3,7.5,11.7,15.0,0.0
kimi-k2-0905 (with COT),Minimal ECT,55.0,5.0,7.5,8.3,19.0,0.0
kimi-k2-0905 (with COT),ECT Load,33.1,8.3,5.0,10.0,14.0,1.7
kimi-k2-0905_defaulttemp (with COT),Overall,54.2,12.5,6.2,8.3,20.0,8.3
kimi-k2-0905_defaulttemp (with COT),Minimal Events,66.7,33.3,25.0,16.7,30.0,0.0
kimi-k2-0905_defaulttemp (with COT),Event Load,41.7,16.7,0.0,16.7,20.0,0.0
kimi-k2-0905_defaulttemp (with COT),Minimal ECT,41.7,0.0,0.0,0.0,10.0,16.7
kimi-k2-0905_defaulttemp (with COT),ECT Load,66.7,0.0,0.0,0.0,20.0,16.7
kimi-k2-thinking,Overall,68.8,100.0,68.8,91.7,87.5,73.9
kimi-k2-thinking,Minimal Events,100.0,100.0,75.0,83.3,100.0,66.7
kimi-k2-thinking,Event Load,75.0,100.0,75.0,100.0,90.0,50.0
kimi-k2-thinking,Minimal ECT,50.0,100.0,75.0,83.3,80.0,83.3
kimi-k2-thinking,ECT Load,50.0,100.0,50.0,100.0,80.0,100.0
llama-3.1-70b-Instruct,Overall,62.7,48.8,26.9,28.3,33.2,8.3
llama-3.1-70b-Instruct,Minimal Events,70.8,46.7,32.5,18.3,26.0,13.3
llama-3.1-70b-Instruct,Event Load,64.2,73.3,35.0,48.3,42.0,3.3
llama-3.1-70b-Instruct,Minimal ECT,65.8,63.3,35.0,43.3,40.0,3.3
llama-3.1-70b-Instruct,ECT Load,50.0,11.7,5.0,3.3,25.0,13.3
llama-3.1-70b-Instruct (with COT),Overall,52.1,46.7,33.1,46.2,31.8,21.2
llama-3.1-70b-Instruct (with COT),Minimal Events,57.5,50.0,35.0,51.7,29.0,28.3
llama-3.1-70b-Instruct (with COT),Event Load,48.3,46.7,40.0,46.7,29.0,23.3
llama-3.1-70b-Instruct (with COT),Minimal ECT,50.8,46.7,40.0,43.3,31.0,16.7
llama-3.1-70b-Instruct (with COT),ECT Load,51.7,43.3,17.5,43.3,38.0,16.7
llama-3.3-70b-Instruct,Overall,54.4,56.7,78.1,37.1,38.5,16.7
llama-3.3-70b-Instruct,Minimal Events,50.0,71.7,87.5,56.7,33.0,0.0
llama-3.3-70b-Instruct,Event Load,52.5,51.7,85.0,40.0,42.0,31.7
llama-3.3-70b-Instruct,Minimal ECT,57.5,55.0,85.0,41.7,46.0,33.3
llama-3.3-70b-Instruct,ECT Load,57.5,48.3,55.0,10.0,33.0,1.7
ALL MODELS,Overall,58.9,70.2,50.8,61.3,56.5,28.6
ALL MODELS,Minimal Events,61.8,74.8,57.7,61.8,55.6,26.0
ALL MODELS,Event Load,55.8,73.7,55.6,65.7,57.2,29.4
ALL MODELS,Minimal ECT,57.9,70.9,54.2,63.6,57.6,29.3
ALL MODELS,ECT Load,60.2,61.5,35.5,53.9,55.5,29.8
