Model,Extra,Self: Knowledge vs Belief,Teammate: Knowledge vs Belief,Combined Uncertainty,True vs False Belief,Teammate vs Opponent,Strategic Lies
anthropic-claude-opus-4.6_think (lose),ECT Load,100.0,100.0,55.0,100.0,100.0,60.0
deepseek-chat-v3.1,Overall,52.9,67.1,47.5,54.2,46.8,2.5
deepseek-chat-v3.1,Minimal Events,55.0,86.7,57.5,63.3,51.0,1.7
deepseek-chat-v3.1,Event Load,55.8,73.3,35.0,51.7,52.0,3.3
deepseek-chat-v3.1,Minimal ECT,51.7,56.7,45.0,50.0,42.0,0.0
deepseek-chat-v3.1,ECT Load,49.2,51.7,52.5,51.7,42.0,5.0
deepseek-chat-v3.1 (lose),Overall,54.4,64.2,46.2,54.2,47.8,5.8
deepseek-chat-v3.1 (lose),Minimal Events,58.3,88.3,57.5,65.0,47.0,0.0
deepseek-chat-v3.1 (lose),Event Load,53.3,65.0,45.0,53.3,53.0,15.0
deepseek-chat-v3.1 (lose),Minimal ECT,53.3,55.0,45.0,50.0,50.0,3.3
deepseek-chat-v3.1 (lose),ECT Load,52.5,48.3,37.5,48.3,41.0,5.0
deepseek-chat-v3.1 (with COT),Overall,47.0,62.1,46.5,62.9,53.0,39.2
deepseek-chat-v3.1 (with COT),Minimal Events,41.7,70.0,47.5,66.7,56.0,40.0
deepseek-chat-v3.1 (with COT),Event Load,50.0,51.7,47.5,60.0,57.0,41.7
deepseek-chat-v3.1 (with COT),Minimal ECT,50.0,58.3,40.0,63.3,46.0,23.3
deepseek-chat-v3.1 (with COT),ECT Load,46.2,68.3,51.3,61.7,53.1,51.7
deepseek-chat-v3.1 (with COT) (lose),Overall,43.7,58.2,33.1,59.2,56.3,48.1
deepseek-chat-v3.1 (with COT) (lose),Minimal Events,42.5,68.3,17.5,51.7,47.0,25.0
deepseek-chat-v3.1 (with COT) (lose),Event Load,50.8,51.7,35.0,55.0,62.0,50.0
deepseek-chat-v3.1 (with COT) (lose),Minimal ECT,39.2,53.3,37.5,66.7,53.5,45.8
deepseek-chat-v3.1 (with COT) (lose),ECT Load,42.2,59.3,42.5,63.3,62.9,71.7
deepseek-v3.2,Overall,13.3,49.6,0.0,49.6,34.8,0.8
deepseek-v3.2,Minimal Events,30.0,50.0,0.0,50.0,42.0,0.0
deepseek-v3.2,Event Load,8.3,50.0,0.0,50.0,32.0,0.0
deepseek-v3.2,Minimal ECT,15.0,50.0,0.0,50.0,36.0,0.0
deepseek-v3.2,ECT Load,0.0,48.3,0.0,48.3,29.0,3.3
deepseek-v3.2 (with COT),Overall,61.8,51.2,37.5,55.2,64.8,32.2
deepseek-v3.2 (with COT),Minimal Events,58.3,55.0,40.0,53.3,64.0,25.0
deepseek-v3.2 (with COT),Event Load,70.8,51.7,37.5,58.3,74.0,40.0
deepseek-v3.2 (with COT),Minimal ECT,67.5,50.0,37.5,57.6,65.0,30.0
deepseek-v3.2 (with COT),ECT Load,50.0,48.3,35.0,51.7,56.0,33.9
kimi-k2-0905,Overall,54.4,45.4,23.8,37.5,36.5,0.8
kimi-k2-0905,Minimal Events,59.2,65.0,42.5,50.0,44.0,3.3
kimi-k2-0905,Event Load,52.5,50.0,30.0,35.0,34.0,0.0
kimi-k2-0905,Minimal ECT,58.3,40.0,22.5,38.3,37.0,0.0
kimi-k2-0905,ECT Load,47.5,26.7,0.0,26.7,31.0,0.0
kimi-k2-0905 (lose),Overall,51.0,50.0,9.4,47.5,42.5,0.8
kimi-k2-0905 (lose),Minimal Events,62.5,56.7,17.5,48.3,43.0,3.3
kimi-k2-0905 (lose),Event Load,58.3,46.7,7.5,46.7,44.0,0.0
kimi-k2-0905 (lose),Minimal ECT,56.7,51.7,12.5,50.0,46.0,0.0
kimi-k2-0905 (lose),ECT Load,26.7,45.0,0.0,45.0,37.0,0.0
kimi-k2-0905 (with COT),Overall,39.2,7.9,8.8,6.2,13.8,1.7
kimi-k2-0905 (with COT),Minimal Events,55.8,8.3,20.0,1.7,14.0,3.3
kimi-k2-0905 (with COT),Event Load,41.7,8.3,7.5,11.7,16.0,1.7
kimi-k2-0905 (with COT),Minimal ECT,35.0,10.0,5.0,8.3,16.0,0.0
kimi-k2-0905 (with COT),ECT Load,24.2,5.0,2.5,3.3,9.0,1.7
kimi-k2-0905 (with COT) (lose),Overall,45.4,30.4,15.6,30.4,27.3,3.8
kimi-k2-0905 (with COT) (lose),Minimal Events,44.2,30.0,15.0,20.0,20.0,0.0
kimi-k2-0905 (with COT) (lose),Event Load,50.0,35.0,15.0,35.0,32.0,8.3
kimi-k2-0905 (with COT) (lose),Minimal ECT,60.0,26.7,25.0,25.0,31.0,5.0
kimi-k2-0905 (with COT) (lose),ECT Load,27.5,30.0,7.5,41.7,26.0,1.7
ALL MODELS,Overall,52.0,58.5,33.4,54.8,51.0,20.6
ALL MODELS,Minimal Events,56.2,66.3,38.4,55.6,51.4,16.8
ALL MODELS,Event Load,52.7,58.7,33.8,55.2,53.1,22.5
ALL MODELS,Minimal ECT,52.3,55.9,33.8,55.4,51.0,19.2
ALL MODELS,ECT Load,46.7,53.3,27.5,53.1,48.5,24.0
