Model                                         | Scenario |        Extra |    N |   Accuracy
anthropic-claude-opus-4.5                     |       16 |   Event Load |    5 |      80.0%
anthropic-claude-opus-4.5                     |       16 |      Min ECT |    5 |      40.0%
anthropic-claude-opus-4.5                     |       16 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       17 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       17 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       17 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       17 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       18 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       18 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       18 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       18 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       19 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       19 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       19 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       19 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       20 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       20 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       20 |      Min ECT |    5 |      80.0%
anthropic-claude-opus-4.5                     |       20 |     ECT Load |    5 |      80.0%
anthropic-claude-opus-4.5                     |       21 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       21 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       21 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       21 |     ECT Load |    5 |      80.0%
anthropic-claude-opus-4.5                     |       22 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       22 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       22 |      Min ECT |    5 |      40.0%
anthropic-claude-opus-4.5                     |       22 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       23 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       23 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       23 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5                     |       23 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       24 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       24 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       24 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5                     |       24 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       25 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       25 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       25 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       25 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       26 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       26 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       26 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       26 |     ECT Load |    5 |      60.0%
anthropic-claude-opus-4.5                     |       27 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       27 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       27 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       27 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       28 |   Min Events |    5 |      80.0%
anthropic-claude-opus-4.5                     |       28 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       28 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       28 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       29 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       29 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       29 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       29 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       30 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       30 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       30 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       30 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       31 |   Min Events |    5 |      80.0%
anthropic-claude-opus-4.5                     |       31 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       31 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       31 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       32 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       32 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       32 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       32 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       33 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       33 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       33 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       33 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       34 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       34 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       34 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       34 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       35 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       35 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       35 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       35 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       36 |   Min Events |    5 |      60.0%
anthropic-claude-opus-4.5                     |       36 |   Event Load |    5 |      80.0%
anthropic-claude-opus-4.5                     |       36 |      Min ECT |    5 |      40.0%
anthropic-claude-opus-4.5                     |       36 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       37 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       37 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       37 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       37 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       38 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       38 |   Event Load |    5 |      20.0%
anthropic-claude-opus-4.5                     |       38 |      Min ECT |    5 |      60.0%
anthropic-claude-opus-4.5                     |       38 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       39 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       39 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       39 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       39 |     ECT Load |    5 |     100.0%

anthropic-claude-opus-4.6                     |        1 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        1 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        1 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        1 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        2 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        2 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        2 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        2 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        3 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        3 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        3 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        3 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        4 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        4 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        4 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        4 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        5 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        5 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        5 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        5 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        6 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        6 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        6 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        6 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        7 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        7 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        7 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        7 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        8 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        8 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |        9 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |        9 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       10 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       10 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       11 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       11 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       12 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       12 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       12 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       12 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       13 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       13 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       13 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       13 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       14 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       14 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       14 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       14 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       15 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       15 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       16 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       16 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       16 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       16 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       17 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       17 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       17 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       17 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       18 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       18 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       18 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       18 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       19 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       19 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       19 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       19 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       20 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       20 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       20 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       20 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       21 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       21 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       21 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       21 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       22 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       22 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       22 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       22 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       23 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       23 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       23 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       23 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       24 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       24 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       24 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       24 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       25 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       25 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       25 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       25 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       26 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       26 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       26 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       26 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       27 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       27 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       27 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       27 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       28 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       28 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       28 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       28 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       29 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       29 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       29 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       29 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       30 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       30 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       30 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       30 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       31 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       31 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       31 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       31 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       32 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       32 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       32 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       32 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       33 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       33 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       33 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       33 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       34 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       34 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       34 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       34 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       35 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       35 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       35 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       35 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       36 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       36 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       36 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       36 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       37 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       37 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       37 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       37 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       38 |   Min Events |    1 |       0.0%
anthropic-claude-opus-4.6                     |       38 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6                     |       38 |      Min ECT |    1 |       0.0%
anthropic-claude-opus-4.6                     |       38 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       39 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6                     |       39 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6                     |       39 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6                     |       39 |     ECT Load |    1 |     100.0%

anthropic-claude-opus-4.6 (with COT)          |        1 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        1 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        1 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        1 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        2 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        2 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        2 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        2 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        3 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        3 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        3 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        3 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        4 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        4 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        4 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        4 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        5 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        5 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        5 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        5 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        6 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        6 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        6 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        6 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        7 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        7 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        7 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        7 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        8 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        8 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        8 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        8 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        9 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        9 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        9 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |        9 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       10 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       10 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       10 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       10 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       11 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       11 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       11 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       11 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6 (with COT)          |       12 |   Min Events |    5 |      20.0%
anthropic-claude-opus-4.6 (with COT)          |       12 |   Event Load |    5 |      20.0%
anthropic-claude-opus-4.6 (with COT)          |       12 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.6 (with COT)          |       12 |     ECT Load |    5 |      40.0%
anthropic-claude-opus-4.6 (with COT)          |       13 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.6 (with COT)          |       13 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.6 (with COT)          |       13 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.6 (with COT)          |       13 |     ECT Load |    5 |      80.0%
