Model,Extra,Self: Knowledge vs Belief,Teammate: Knowledge vs Belief,Combined Uncertainty,True vs False Belief,Teammate vs Opponent,Strategic Lies
qwen3-32b (with COT),Overall,35.0,27.5,83.8,21.7,34.5,17.1
qwen3-32b (with COT),Minimal Events,3.3,23.3,57.5,20.0,29.0,3.3
qwen3-32b (with COT),Event Load,43.3,48.3,100.0,41.7,44.0,38.3
qwen3-32b (with COT),Minimal ECT,56.7,31.7,87.5,20.0,34.0,6.7
qwen3-32b (with COT),ECT Load,36.7,6.7,90.0,5.0,31.0,20.0
qwen3-32b_think,Overall,50.8,97.9,49.4,92.9,74.5,58.9
qwen3-32b_think,Minimal Events,57.5,100.0,50.0,85.0,76.8,47.5
qwen3-32b_think,Event Load,50.0,96.7,50.0,95.0,74.5,56.9
qwen3-32b_think,Minimal ECT,50.0,100.0,50.0,100.0,72.0,53.3
qwen3-32b_think,ECT Load,45.8,94.9,47.5,91.7,74.7,78.0
qwen3-next-80b-a3b-instruct,Overall,25.6,49.6,4.4,49.2,38.5,0.0
qwen3-next-80b-a3b-instruct,Minimal Events,30.0,46.7,5.0,46.7,43.0,0.0
qwen3-next-80b-a3b-instruct,Event Load,19.2,51.7,2.5,50.0,34.0,0.0
qwen3-next-80b-a3b-instruct,Minimal ECT,10.0,50.0,0.0,50.0,37.0,0.0
qwen3-next-80b-a3b-instruct,ECT Load,43.3,50.0,10.0,50.0,40.0,0.0
qwen3-next-80b-a3b-instruct (with COT),Overall,7.9,49.2,0.0,49.2,31.5,0.0
qwen3-next-80b-a3b-instruct (with COT),Minimal Events,0.0,46.7,0.0,46.7,28.0,0.0
qwen3-next-80b-a3b-instruct (with COT),Event Load,1.7,50.0,0.0,50.0,30.0,0.0
qwen3-next-80b-a3b-instruct (with COT),Minimal ECT,5.0,50.0,0.0,50.0,32.0,0.0
qwen3-next-80b-a3b-instruct (with COT),ECT Load,25.0,50.0,0.0,50.0,36.0,0.0
qwen3-next-80b-a3b-thinking_think,Overall,50.0,100.0,47.5,99.2,78.6,63.8
qwen3-next-80b-a3b-thinking_think,Minimal Events,52.5,100.0,50.0,100.0,80.0,51.7
qwen3-next-80b-a3b-thinking_think,Event Load,48.3,100.0,50.0,100.0,78.6,67.8
qwen3-next-80b-a3b-thinking_think,Minimal ECT,50.0,100.0,40.0,100.0,79.0,55.2
qwen3-next-80b-a3b-thinking_think,ECT Load,49.1,100.0,50.0,96.6,76.8,81.5
ALL MODELS,Overall,41.7,50.3,29.7,46.3,42.8,18.6
ALL MODELS,Minimal Events,37.5,51.8,32.4,45.1,40.1,14.6
ALL MODELS,Event Load,42.5,53.0,30.0,49.1,45.0,21.8
ALL MODELS,Minimal ECT,40.7,52.5,27.5,48.7,42.0,16.8
ALL MODELS,ECT Load,46.0,43.8,29.1,42.4,44.0,21.0
